,reads,richness
001,237958,797
002,263050,938
003,328348,1002
004,327359,939
005,233830,731
006,272810,824
007,236792,755
008,93821,514
009,74054,337
010,81838,369
011,88579,350
012,83660,351
013,92589,303
014,81081,299
015,197597,594
016,254954,606
017,224823,1182
018,283850,1252
019,257321,1128
020,284095,1300
021,266507,1137
022,265618,1074
023,110590,518
024,121433,465
025,114520,405
026,131425,378
027,154744,482
028,218632,622
029,263777,668
030,254883,711
031,252993,533
032,264870,541
033,266114,606
034,266679,656
035,269280,870
036,108252,408
037,95083,407
038,119473,408
039,102685,226
040,107735,229
041,112010,219
042,242911,869
043,312233,938
044,218070,839
045,124107,472
046,118719,451
047,123626,350
048,170816,316
049,243838,347
050,213018,229
051,180221,282
052,220006,535
053,255570,314
054,232167,392
055,270168,265
056,243258,220
057,202839,247
058,96252,286
059,78745,281
060,100169,289
061,97302,258
062,64114,340
063,116747,1063
064,100651,277
065,94132,265
066,80291,188
067,108629,226
068,191044,853
069,215452,709
070,166608,731
071,231044,733
072,323047,771
073,105656,371
074,80221,326
075,105588,267
076,88305,308
077,99582,293
078,188655,1161
079,252594,1152
080,212690,1060
081,172479,1023
082,194627,994
083,266203,1114
084,129480,461
085,107707,450
086,135147,553
087,122042,467
088,135722,463
089,100755,443
090,167438,857
091,297625,817
092,89158,423
093,94355,437
094,226621,1049
095,241688,1198
096,128023,459
097,83494,508
098,227751,1298
099,234004,1348
100,115683,467
101,76846,589
102,259554,1843
103,202744,1758
104,103314,978
105,110945,900
106,311036,2074
107,231110,1735
108,103515,903
109,87761,874
110,214475,1695
111,278852,1723
112,109839,962
113,98652,783
